content,score,at,case_folding,cleansing,tokenizing,stopword_removal,stemming,hasil_preprocessing
"Mending di uninstall aja, aplikasi nya buruk banget, masa nampilin informasi penerbangan jelek banget,",1,2024-07-22 19:27:23,"mending di uninstall aja, aplikasi nya buruk banget, masa nampilin informasi penerbangan jelek banget,",mending di uninstall aja aplikasi nya buruk banget masa nampilin informasi penerbangan jelek banget,"['mending', 'di', 'uninstall', 'aja', 'aplikasi', 'nya', 'buruk', 'banget', 'masa', 'nampilin', 'informasi', 'penerbangan', 'jelek', 'banget']","['mending', 'uninstall', 'aja', 'aplikasi', 'nya', 'buruk', 'banget', 'masa', 'nampilin', 'informasi', 'penerbangan', 'jelek', 'banget']","['mending', 'uninstall', 'aja', 'aplikasi', 'nya', 'buruk', 'banget', 'masa', 'nampilin', 'informasi', 'terbang', 'jelek', 'banget']",mending uninstall aja aplikasi nya buruk banget masa nampilin informasi terbang jelek banget
sangat membantu dalam proses traveling saya,5,2024-07-22 18:12:59,sangat membantu dalam proses traveling saya,sangat membantu dalam proses traveling saya,"['sangat', 'membantu', 'dalam', 'proses', 'traveling', 'saya']","['sangat', 'membantu', 'proses', 'traveling']","['sangat', 'bantu', 'proses', 'traveling']",sangat bantu proses traveling
"Bagus, baru pertama kali pakai. Ga ada keluhan apapun. Aman semua 👍",5,2024-07-22 13:15:12,"bagus, baru pertama kali pakai. ga ada keluhan apapun. aman semua 👍",bagus baru pertama kali pakai ga ada keluhan apapun aman semua,"['bagus', 'baru', 'pertama', 'kali', 'pakai', 'ga', 'ada', 'keluhan', 'apapun', 'aman', 'semua']","['bagus', 'baru', 'pertama', 'kali', 'pakai', 'ga', 'keluhan', 'apapun', 'aman', 'semua']","['bagus', 'baru', 'pertama', 'kali', 'pakai', 'ga', 'keluh', 'apa', 'aman', 'semua']",bagus baru pertama kali pakai ga keluh apa aman semua
paling murah banyak diskon,5,2024-07-22 07:01:16,paling murah banyak diskon,paling murah banyak diskon,"['paling', 'murah', 'banyak', 'diskon']","['paling', 'murah', 'banyak', 'diskon']","['paling', 'murah', 'banyak', 'diskon']",paling murah banyak diskon
"Pelayanan sangat sangat sangat sangat sangat JELEK. Mending pakai TRAVELOKA saja. Permohonan Reschedule sengaja dipersulit biar hangus. SANGAT MENGECEWAKAN, SAAT INI JUGA SAYA HAPUS APLIKASI INI. 👎👎👎👎👎👎👎👎👎",1,2024-07-21 22:10:43,"pelayanan sangat sangat sangat sangat sangat jelek. mending pakai traveloka saja. permohonan reschedule sengaja dipersulit biar hangus. sangat mengecewakan, saat ini juga saya hapus aplikasi ini. 👎👎👎👎👎👎👎👎👎",pelayanan sangat sangat sangat sangat sangat jelek mending pakai traveloka saja permohonan reschedule sengaja dipersulit biar hangus sangat mengecewakan saat ini juga saya hapus aplikasi ini,"['pelayanan', 'sangat', 'sangat', 'sangat', 'sangat', 'sangat', 'jelek', 'mending', 'pakai', 'traveloka', 'saja', 'permohonan', 'reschedule', 'sengaja', 'dipersulit', 'biar', 'hangus', 'sangat', 'mengecewakan', 'saat', 'ini', 'juga', 'saya', 'hapus', 'aplikasi', 'ini']","['pelayanan', 'sangat', 'sangat', 'sangat', 'sangat', 'sangat', 'jelek', 'mending', 'pakai', 'traveloka', 'permohonan', 'reschedule', 'sengaja', 'dipersulit', 'biar', 'hangus', 'sangat', 'mengecewakan', 'hapus', 'aplikasi']","['layan', 'sangat', 'sangat', 'sangat', 'sangat', 'sangat', 'jelek', 'mending', 'pakai', 'traveloka', 'mohon', 'reschedule', 'sengaja', 'sulit', 'biar', 'hangus', 'sangat', 'kecewa', 'hapus', 'aplikasi']",layan sangat sangat sangat sangat sangat jelek mending pakai traveloka mohon reschedule sengaja sulit biar hangus sangat kecewa hapus aplikasi
"Penggunaanya mudah, dan saya sangat senang dan berterimakasih untuk tim yg sudah cepat tanggap membantu kendala saya.",5,2024-07-20 18:38:26,"penggunaanya mudah, dan saya sangat senang dan berterimakasih untuk tim yg sudah cepat tanggap membantu kendala saya.",penggunaanya mudah dan saya sangat senang dan berterimakasih untuk tim yg sudah cepat tanggap membantu kendala saya,"['penggunaanya', 'mudah', 'dan', 'saya', 'sangat', 'senang', 'dan', 'berterimakasih', 'untuk', 'tim', 'yg', 'sudah', 'cepat', 'tanggap', 'membantu', 'kendala', 'saya']","['penggunaanya', 'mudah', 'sangat', 'senang', 'berterimakasih', 'tim', 'yg', 'cepat', 'tanggap', 'membantu', 'kendala']","['penggunaanya', 'mudah', 'sangat', 'senang', 'berterimakasih', 'tim', 'yg', 'cepat', 'tanggap', 'bantu', 'kendala']",penggunaanya mudah sangat senang berterimakasih tim yg cepat tanggap bantu kendala
Good,5,2024-07-20 18:15:23,good,good,['good'],['good'],['good'],good
Hati hati eticket lama. Kawatir aktual nya full,1,2024-07-20 14:53:30,hati hati eticket lama. kawatir aktual nya full,hati hati eticket lama kawatir aktual nya full,"['hati', 'hati', 'eticket', 'lama', 'kawatir', 'aktual', 'nya', 'full']","['hati', 'hati', 'eticket', 'lama', 'kawatir', 'aktual', 'nya', 'full']","['hati', 'hati', 'eticket', 'lama', 'kawatir', 'aktual', 'nya', 'full']",hati hati eticket lama kawatir aktual nya full
App bagus,5,2024-07-20 06:01:32,app bagus,app bagus,"['app', 'bagus']","['app', 'bagus']","['app', 'bagus']",app bagus
alhamdulillah,5,2024-07-19 19:09:07,alhamdulillah,alhamdulillah,['alhamdulillah'],['alhamdulillah'],['alhamdulillah'],alhamdulillah
Kenapa skrg harga hotelnya jd mahal tiket com,1,2024-07-19 13:50:49,kenapa skrg harga hotelnya jd mahal tiket com,kenapa skrg harga hotelnya jd mahal tiket com,"['kenapa', 'skrg', 'harga', 'hotelnya', 'jd', 'mahal', 'tiket', 'com']","['skrg', 'harga', 'hotelnya', 'jd', 'mahal', 'tiket', 'com']","['skrg', 'harga', 'hotel', 'jd', 'mahal', 'tiket', 'com']",skrg harga hotel jd mahal tiket com
Sangat membantu,5,2024-07-19 12:16:45,sangat membantu,sangat membantu,"['sangat', 'membantu']","['sangat', 'membantu']","['sangat', 'bantu']",sangat bantu
Apakah harga tiket penerbangan yg tertera sudah harga final (include pajak)?,5,2024-07-19 12:02:33,apakah harga tiket penerbangan yg tertera sudah harga final (include pajak)?,apakah harga tiket penerbangan yg tertera sudah harga final include pajak,"['apakah', 'harga', 'tiket', 'penerbangan', 'yg', 'tertera', 'sudah', 'harga', 'final', 'include', 'pajak']","['harga', 'tiket', 'penerbangan', 'yg', 'tertera', 'harga', 'final', 'include', 'pajak']","['harga', 'tiket', 'terbang', 'yg', 'tera', 'harga', 'final', 'include', 'pajak']",harga tiket terbang yg tera harga final include pajak
Good,5,2024-07-19 10:22:25,good,good,['good'],['good'],['good'],good
bisa enggk konek,4,2024-07-19 08:36:13,bisa enggk konek,bisa enggk konek,"['bisa', 'enggk', 'konek']","['enggk', 'konek']","['enggk', 'konek']",enggk konek
Bagus,5,2024-07-19 08:24:16,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
"Halo cs , disarankan seperti kemarin aja yg sudah termasuk pajak. Jd simple dan langsung menemukan harga aslinya . Semoga ada perbaikan kedepan . Terimakasih",3,2024-07-19 01:10:08,"halo cs , disarankan seperti kemarin aja yg sudah termasuk pajak. jd simple dan langsung menemukan harga aslinya . semoga ada perbaikan kedepan . terimakasih",halo cs disarankan seperti kemarin aja yg sudah termasuk pajak jd simple dan langsung menemukan harga aslinya semoga ada perbaikan kedepan terimakasih,"['halo', 'cs', 'disarankan', 'seperti', 'kemarin', 'aja', 'yg', 'sudah', 'termasuk', 'pajak', 'jd', 'simple', 'dan', 'langsung', 'menemukan', 'harga', 'aslinya', 'semoga', 'ada', 'perbaikan', 'kedepan', 'terimakasih']","['halo', 'cs', 'disarankan', 'kemarin', 'aja', 'yg', 'termasuk', 'pajak', 'jd', 'simple', 'langsung', 'menemukan', 'harga', 'aslinya', 'semoga', 'perbaikan', 'kedepan', 'terimakasih']","['halo', 'cs', 'saran', 'kemarin', 'aja', 'yg', 'masuk', 'pajak', 'jd', 'simple', 'langsung', 'temu', 'harga', 'asli', 'moga', 'baik', 'depan', 'terimakasih']",halo cs saran kemarin aja yg masuk pajak jd simple langsung temu harga asli moga baik depan terimakasih
"Kayaknya udah gak terdengar lagi tagline kalau nemu harga pax jauh lebih murah di aplikasi lain ketimbang di aplikasi tiket, akan diganti 200% selisihnya. Karena saya kaget dengan sistem pricing tiket sekarang gak masuk akal. Dari harga tiket di awal cuma Rp120.000 tapi pas checkout pembayaran kok jadi Rp190ribu? Biaya layanan + pajak nya gak masuk akal.",2,2024-07-18 22:46:14,"kayaknya udah gak terdengar lagi tagline kalau nemu harga pax jauh lebih murah di aplikasi lain ketimbang di aplikasi tiket, akan diganti 200% selisihnya. karena saya kaget dengan sistem pricing tiket sekarang gak masuk akal. dari harga tiket di awal cuma rp120.000 tapi pas checkout pembayaran kok jadi rp190ribu? biaya layanan + pajak nya gak masuk akal.",kayaknya udah gak terdengar lagi tagline kalau nemu harga pax jauh lebih murah di aplikasi lain ketimbang di aplikasi tiket akan diganti selisihnya karena saya kaget dengan sistem pricing tiket sekarang gak masuk akal dari harga tiket di awal cuma rp tapi pas checkout pembayaran kok jadi rp ribu biaya layanan pajak nya gak masuk akal,"['kayaknya', 'udah', 'gak', 'terdengar', 'lagi', 'tagline', 'kalau', 'nemu', 'harga', 'pax', 'jauh', 'lebih', 'murah', 'di', 'aplikasi', 'lain', 'ketimbang', 'di', 'aplikasi', 'tiket', 'akan', 'diganti', 'selisihnya', 'karena', 'saya', 'kaget', 'dengan', 'sistem', 'pricing', 'tiket', 'sekarang', 'gak', 'masuk', 'akal', 'dari', 'harga', 'tiket', 'di', 'awal', 'cuma', 'rp', 'tapi', 'pas', 'checkout', 'pembayaran', 'kok', 'jadi', 'rp', 'ribu', 'biaya', 'layanan', 'pajak', 'nya', 'gak', 'masuk', 'akal']","['kayaknya', 'udah', 'gak', 'terdengar', 'tagline', 'kalau', 'nemu', 'harga', 'pax', 'jauh', 'lebih', 'murah', 'aplikasi', 'ketimbang', 'aplikasi', 'tiket', 'diganti', 'selisihnya', 'kaget', 'sistem', 'pricing', 'tiket', 'sekarang', 'gak', 'masuk', 'akal', 'harga', 'tiket', 'awal', 'cuma', 'rp', 'pas', 'checkout', 'pembayaran', 'kok', 'jadi', 'rp', 'ribu', 'biaya', 'layanan', 'pajak', 'nya', 'gak', 'masuk', 'akal']","['kayak', 'udah', 'gak', 'dengar', 'tagline', 'kalau', 'nemu', 'harga', 'pax', 'jauh', 'lebih', 'murah', 'aplikasi', 'ketimbang', 'aplikasi', 'tiket', 'ganti', 'selisih', 'kaget', 'sistem', 'pricing', 'tiket', 'sekarang', 'gak', 'masuk', 'akal', 'harga', 'tiket', 'awal', 'cuma', 'rp', 'pas', 'checkout', 'bayar', 'kok', 'jadi', 'rp', 'ribu', 'biaya', 'layan', 'pajak', 'nya', 'gak', 'masuk', 'akal']",kayak udah gak dengar tagline kalau nemu harga pax jauh lebih murah aplikasi ketimbang aplikasi tiket ganti selisih kaget sistem pricing tiket sekarang gak masuk akal harga tiket awal cuma rp pas checkout bayar kok jadi rp ribu biaya layan pajak nya gak masuk akal
good,5,2024-07-18 20:13:31,good,good,['good'],['good'],['good'],good
"Hati hati menggunakan aplikasi ini , karena terkesan aplikasi ini seperti menjebak. Saya memesan hotel dengan menggunakan aplikasi ini dengan iming-iming promo diskon 30 k. Tetapi setelah saya booking kamar dan melakukan pembayaran melalui transfer bank . Pihak aplikasi dengan sepihak mengatakan bahwa kamar yang saya booking sudah full dan pesanan saya gagal , dan harga kamar yang saya booking sudah berubah dari harga semula. Sementara pembayaran sdh sukses dan untuk refund hrs menunggu waktu 10",1,2024-07-18 17:48:52,"hati hati menggunakan aplikasi ini , karena terkesan aplikasi ini seperti menjebak. saya memesan hotel dengan menggunakan aplikasi ini dengan iming-iming promo diskon 30 k. tetapi setelah saya booking kamar dan melakukan pembayaran melalui transfer bank . pihak aplikasi dengan sepihak mengatakan bahwa kamar yang saya booking sudah full dan pesanan saya gagal , dan harga kamar yang saya booking sudah berubah dari harga semula. sementara pembayaran sdh sukses dan untuk refund hrs menunggu waktu 10",hati hati menggunakan aplikasi ini karena terkesan aplikasi ini seperti menjebak saya memesan hotel dengan menggunakan aplikasi ini dengan iming iming promo diskon k tetapi setelah saya booking kamar dan melakukan pembayaran melalui transfer bank pihak aplikasi dengan sepihak mengatakan bahwa kamar yang saya booking sudah full dan pesanan saya gagal dan harga kamar yang saya booking sudah berubah dari harga semula sementara pembayaran sdh sukses dan untuk refund hrs menunggu waktu,"['hati', 'hati', 'menggunakan', 'aplikasi', 'ini', 'karena', 'terkesan', 'aplikasi', 'ini', 'seperti', 'menjebak', 'saya', 'memesan', 'hotel', 'dengan', 'menggunakan', 'aplikasi', 'ini', 'dengan', 'iming', 'iming', 'promo', 'diskon', 'k', 'tetapi', 'setelah', 'saya', 'booking', 'kamar', 'dan', 'melakukan', 'pembayaran', 'melalui', 'transfer', 'bank', 'pihak', 'aplikasi', 'dengan', 'sepihak', 'mengatakan', 'bahwa', 'kamar', 'yang', 'saya', 'booking', 'sudah', 'full', 'dan', 'pesanan', 'saya', 'gagal', 'dan', 'harga', 'kamar', 'yang', 'saya', 'booking', 'sudah', 'berubah', 'dari', 'harga', 'semula', 'sementara', 'pembayaran', 'sdh', 'sukses', 'dan', 'untuk', 'refund', 'hrs', 'menunggu', 'waktu']","['hati', 'hati', 'menggunakan', 'aplikasi', 'terkesan', 'aplikasi', 'menjebak', 'memesan', 'hotel', 'menggunakan', 'aplikasi', 'iming', 'iming', 'promo', 'diskon', 'k', 'booking', 'kamar', 'melakukan', 'pembayaran', 'melalui', 'transfer', 'bank', 'pihak', 'aplikasi', 'sepihak', 'mengatakan', 'kamar', 'booking', 'full', 'pesanan', 'gagal', 'harga', 'kamar', 'booking', 'berubah', 'harga', 'semula', 'pembayaran', 'sdh', 'sukses', 'refund', 'hrs', 'menunggu', 'waktu']","['hati', 'hati', 'guna', 'aplikasi', 'kes', 'aplikasi', 'jebak', 'mes', 'hotel', 'guna', 'aplikasi', 'iming', 'iming', 'promo', 'diskon', 'k', 'booking', 'kamar', 'laku', 'bayar', 'lalu', 'transfer', 'bank', 'pihak', 'aplikasi', 'pihak', 'kata', 'kamar', 'booking', 'full', 'pesan', 'gagal', 'harga', 'kamar', 'booking', 'ubah', 'harga', 'mula', 'bayar', 'sdh', 'sukses', 'refund', 'hrs', 'tunggu', 'waktu']",hati hati guna aplikasi kes aplikasi jebak mes hotel guna aplikasi iming iming promo diskon k booking kamar laku bayar lalu transfer bank pihak aplikasi pihak kata kamar booking full pesan gagal harga kamar booking ubah harga mula bayar sdh sukses refund hrs tunggu waktu
Jhosss,4,2024-07-18 16:57:33,jhosss,jhosss,['jhosss'],['jhosss'],['jhosss'],jhosss
Rekomendasi banget aplikasi ini dan saya sudah dibantu dalam permasalahan saya. Top,5,2024-07-18 16:34:11,rekomendasi banget aplikasi ini dan saya sudah dibantu dalam permasalahan saya. top,rekomendasi banget aplikasi ini dan saya sudah dibantu dalam permasalahan saya top,"['rekomendasi', 'banget', 'aplikasi', 'ini', 'dan', 'saya', 'sudah', 'dibantu', 'dalam', 'permasalahan', 'saya', 'top']","['rekomendasi', 'banget', 'aplikasi', 'dibantu', 'permasalahan', 'top']","['rekomendasi', 'banget', 'aplikasi', 'bantu', 'masalah', 'top']",rekomendasi banget aplikasi bantu masalah top
alhmdulillh sangat membantu,5,2024-07-18 14:29:14,alhmdulillh sangat membantu,alhmdulillh sangat membantu,"['alhmdulillh', 'sangat', 'membantu']","['alhmdulillh', 'sangat', 'membantu']","['alhmdulillh', 'sangat', 'bantu']",alhmdulillh sangat bantu
"Sip mantap, selalu mudah dalam pesanan tiket penerbangan",5,2024-07-18 12:38:36,"sip mantap, selalu mudah dalam pesanan tiket penerbangan",sip mantap selalu mudah dalam pesanan tiket penerbangan,"['sip', 'mantap', 'selalu', 'mudah', 'dalam', 'pesanan', 'tiket', 'penerbangan']","['sip', 'mantap', 'selalu', 'mudah', 'pesanan', 'tiket', 'penerbangan']","['sip', 'mantap', 'selalu', 'mudah', 'pesan', 'tiket', 'terbang']",sip mantap selalu mudah pesan tiket terbang
sangat membantu,5,2024-07-18 11:32:08,sangat membantu,sangat membantu,"['sangat', 'membantu']","['sangat', 'membantu']","['sangat', 'bantu']",sangat bantu
di rekomended,5,2024-07-18 10:11:41,di rekomended,di rekomended,"['di', 'rekomended']",['rekomended'],['rekomended'],rekomended
sangat membantu,5,2024-07-18 09:07:19,sangat membantu,sangat membantu,"['sangat', 'membantu']","['sangat', 'membantu']","['sangat', 'bantu']",sangat bantu
Happy,5,2024-07-18 09:03:07,happy,happy,['happy'],['happy'],['happy'],happy
"memudahkan pemesanan tiket pesawat, memudahkan liburan",5,2024-07-18 07:13:24,"memudahkan pemesanan tiket pesawat, memudahkan liburan",memudahkan pemesanan tiket pesawat memudahkan liburan,"['memudahkan', 'pemesanan', 'tiket', 'pesawat', 'memudahkan', 'liburan']","['memudahkan', 'pemesanan', 'tiket', 'pesawat', 'memudahkan', 'liburan']","['mudah', 'mesan', 'tiket', 'pesawat', 'mudah', 'libur']",mudah mesan tiket pesawat mudah libur
keren,5,2024-07-17 19:50:43,keren,keren,['keren'],['keren'],['keren'],keren
Beli tiket harus jauh dari pelabuhan kan gila ngapain di buat apk kalu cuma mempersulit,1,2024-07-17 15:58:25,beli tiket harus jauh dari pelabuhan kan gila ngapain di buat apk kalu cuma mempersulit,beli tiket harus jauh dari pelabuhan kan gila ngapain di buat apk kalu cuma mempersulit,"['beli', 'tiket', 'harus', 'jauh', 'dari', 'pelabuhan', 'kan', 'gila', 'ngapain', 'di', 'buat', 'apk', 'kalu', 'cuma', 'mempersulit']","['beli', 'tiket', 'jauh', 'pelabuhan', 'kan', 'gila', 'ngapain', 'buat', 'apk', 'kalu', 'cuma', 'mempersulit']","['beli', 'tiket', 'jauh', 'labuh', 'kan', 'gila', 'ngapain', 'buat', 'apk', 'kalu', 'cuma', 'sulit']",beli tiket jauh labuh kan gila ngapain buat apk kalu cuma sulit
Mantabbb..Hati riang dan gembira..Semoga jualannya berkah selalu..Aamiin yra 🙏🙏 sempurna untuk dipakai semua kebutuhan,5,2024-07-17 15:13:18,mantabbb..hati riang dan gembira..semoga jualannya berkah selalu..aamiin yra 🙏🙏 sempurna untuk dipakai semua kebutuhan,mantabbb hati riang dan gembira semoga jualannya berkah selalu aamiin yra sempurna untuk dipakai semua kebutuhan,"['mantabbb', 'hati', 'riang', 'dan', 'gembira', 'semoga', 'jualannya', 'berkah', 'selalu', 'aamiin', 'yra', 'sempurna', 'untuk', 'dipakai', 'semua', 'kebutuhan']","['mantabbb', 'hati', 'riang', 'gembira', 'semoga', 'jualannya', 'berkah', 'selalu', 'aamiin', 'yra', 'sempurna', 'dipakai', 'semua', 'kebutuhan']","['mantabbb', 'hati', 'riang', 'gembira', 'moga', 'jual', 'berkah', 'selalu', 'aamiin', 'yra', 'sempurna', 'pakai', 'semua', 'butuh']",mantabbb hati riang gembira moga jual berkah selalu aamiin yra sempurna pakai semua butuh
cukup baik,4,2024-07-17 14:21:43,cukup baik,cukup baik,"['cukup', 'baik']","['cukup', 'baik']","['cukup', 'baik']",cukup baik
Mantappp👍,5,2024-07-17 13:53:36,mantappp👍,mantappp,['mantappp'],['mantappp'],['mantappp'],mantappp
harga kompetitif pelayanan cepat dan OK,5,2024-07-17 10:21:53,harga kompetitif pelayanan cepat dan ok,harga kompetitif pelayanan cepat dan ok,"['harga', 'kompetitif', 'pelayanan', 'cepat', 'dan', 'ok']","['harga', 'kompetitif', 'pelayanan', 'cepat']","['harga', 'kompetitif', 'layan', 'cepat']",harga kompetitif layan cepat
"Cukuplah sekali ini kena prank. Ada perubahan jadwal pesawat 15 menit dan di email penawaran untuk reschedule atau refund. Tp ga dikasih tau refun hanya bisa jika perubahan jadwal 60 menit keatas. Saya pilih refund, eh baru di konfirmasi penolakannya di jam keberangkatan kalau refund ditolak dan hanya bisa dikembalikan tax airport yg hanya 65rb Saran kalau memang ada perubahan jadwal tp tidak berlaku refund, kita jangan ditawarin untuk refund apalagi tanpa ada penjelasan! Sangat merugikan",1,2024-07-17 08:51:33,"cukuplah sekali ini kena prank. ada perubahan jadwal pesawat 15 menit dan di email penawaran untuk reschedule atau refund. tp ga dikasih tau refun hanya bisa jika perubahan jadwal 60 menit keatas. saya pilih refund, eh baru di konfirmasi penolakannya di jam keberangkatan kalau refund ditolak dan hanya bisa dikembalikan tax airport yg hanya 65rb saran kalau memang ada perubahan jadwal tp tidak berlaku refund, kita jangan ditawarin untuk refund apalagi tanpa ada penjelasan! sangat merugikan",cukuplah sekali ini kena prank ada perubahan jadwal pesawat menit dan di email penawaran untuk reschedule atau refund tp ga dikasih tau refun hanya bisa jika perubahan jadwal menit keatas saya pilih refund eh baru di konfirmasi penolakannya di jam keberangkatan kalau refund ditolak dan hanya bisa dikembalikan tax airport yg hanya rb saran kalau memang ada perubahan jadwal tp tidak berlaku refund kita jangan ditawarin untuk refund apalagi tanpa ada penjelasan sangat merugikan,"['cukuplah', 'sekali', 'ini', 'kena', 'prank', 'ada', 'perubahan', 'jadwal', 'pesawat', 'menit', 'dan', 'di', 'email', 'penawaran', 'untuk', 'reschedule', 'atau', 'refund', 'tp', 'ga', 'dikasih', 'tau', 'refun', 'hanya', 'bisa', 'jika', 'perubahan', 'jadwal', 'menit', 'keatas', 'saya', 'pilih', 'refund', 'eh', 'baru', 'di', 'konfirmasi', 'penolakannya', 'di', 'jam', 'keberangkatan', 'kalau', 'refund', 'ditolak', 'dan', 'hanya', 'bisa', 'dikembalikan', 'tax', 'airport', 'yg', 'hanya', 'rb', 'saran', 'kalau', 'memang', 'ada', 'perubahan', 'jadwal', 'tp', 'tidak', 'berlaku', 'refund', 'kita', 'jangan', 'ditawarin', 'untuk', 'refund', 'apalagi', 'tanpa', 'ada', 'penjelasan', 'sangat', 'merugikan']","['cukuplah', 'sekali', 'kena', 'prank', 'perubahan', 'jadwal', 'pesawat', 'menit', 'email', 'penawaran', 'reschedule', 'refund', 'tp', 'ga', 'dikasih', 'tau', 'refun', 'perubahan', 'jadwal', 'menit', 'keatas', 'pilih', 'refund', 'eh', 'baru', 'konfirmasi', 'penolakannya', 'jam', 'keberangkatan', 'kalau', 'refund', 'ditolak', 'dikembalikan', 'tax', 'airport', 'yg', 'rb', 'saran', 'kalau', 'memang', 'perubahan', 'jadwal', 'tp', 'berlaku', 'refund', 'jangan', 'ditawarin', 'refund', 'penjelasan', 'sangat', 'merugikan']","['cukup', 'sekali', 'kena', 'prank', 'ubah', 'jadwal', 'pesawat', 'menit', 'email', 'tawar', 'reschedule', 'refund', 'tp', 'ga', 'kasih', 'tau', 'refun', 'ubah', 'jadwal', 'menit', 'atas', 'pilih', 'refund', 'eh', 'baru', 'konfirmasi', 'tolak', 'jam', 'berangkat', 'kalau', 'refund', 'tolak', 'kembali', 'tax', 'airport', 'yg', 'rb', 'saran', 'kalau', 'memang', 'ubah', 'jadwal', 'tp', 'laku', 'refund', 'jangan', 'ditawarin', 'refund', 'jelas', 'sangat', 'rugi']",cukup sekali kena prank ubah jadwal pesawat menit email tawar reschedule refund tp ga kasih tau refun ubah jadwal menit atas pilih refund eh baru konfirmasi tolak jam berangkat kalau refund tolak kembali tax airport yg rb saran kalau memang ubah jadwal tp laku refund jangan ditawarin refund jelas sangat rugi
good respons,5,2024-07-17 08:35:59,good respons,good respons,"['good', 'respons']","['good', 'respons']","['good', 'respons']",good respons
Harga tiket sangat bagus hanya saja pengembalian uang dari bandara ngak bisa,4,2024-07-16 23:50:07,harga tiket sangat bagus hanya saja pengembalian uang dari bandara ngak bisa,harga tiket sangat bagus hanya saja pengembalian uang dari bandara ngak bisa,"['harga', 'tiket', 'sangat', 'bagus', 'hanya', 'saja', 'pengembalian', 'uang', 'dari', 'bandara', 'ngak', 'bisa']","['harga', 'tiket', 'sangat', 'bagus', 'pengembalian', 'uang', 'bandara', 'ngak']","['harga', 'tiket', 'sangat', 'bagus', 'kembali', 'uang', 'bandara', 'ngak']",harga tiket sangat bagus kembali uang bandara ngak
Kenapa sekarang setiap dibuka munculnya blibli sih harus login ga jelas banget.,1,2024-07-16 07:56:23,kenapa sekarang setiap dibuka munculnya blibli sih harus login ga jelas banget.,kenapa sekarang setiap dibuka munculnya blibli sih harus login ga jelas banget,"['kenapa', 'sekarang', 'setiap', 'dibuka', 'munculnya', 'blibli', 'sih', 'harus', 'login', 'ga', 'jelas', 'banget']","['sekarang', 'dibuka', 'munculnya', 'blibli', 'sih', 'login', 'ga', 'jelas', 'banget']","['sekarang', 'buka', 'muncul', 'blibli', 'sih', 'login', 'ga', 'jelas', 'banget']",sekarang buka muncul blibli sih login ga jelas banget
tdk terintegrasi antara pesanan yg dibatalkan dan transfer biaya pesanan.,1,2024-07-15 20:03:30,tdk terintegrasi antara pesanan yg dibatalkan dan transfer biaya pesanan.,tdk terintegrasi antara pesanan yg dibatalkan dan transfer biaya pesanan,"['tdk', 'terintegrasi', 'antara', 'pesanan', 'yg', 'dibatalkan', 'dan', 'transfer', 'biaya', 'pesanan']","['tdk', 'terintegrasi', 'pesanan', 'yg', 'dibatalkan', 'transfer', 'biaya', 'pesanan']","['tdk', 'integrasi', 'pesan', 'yg', 'batal', 'transfer', 'biaya', 'pesan']",tdk integrasi pesan yg batal transfer biaya pesan
Tiba tiba paylater ditangguhkan,1,2024-07-15 16:27:04,tiba tiba paylater ditangguhkan,tiba tiba paylater ditangguhkan,"['tiba', 'tiba', 'paylater', 'ditangguhkan']","['tiba', 'tiba', 'paylater', 'ditangguhkan']","['tiba', 'tiba', 'paylater', 'tangguh']",tiba tiba paylater tangguh
tolong ini kenapa sistem reschedule nya lama responnya pengaduan juga lama,1,2024-07-15 15:54:57,tolong ini kenapa sistem reschedule nya lama responnya pengaduan juga lama,tolong ini kenapa sistem reschedule nya lama responnya pengaduan juga lama,"['tolong', 'ini', 'kenapa', 'sistem', 'reschedule', 'nya', 'lama', 'responnya', 'pengaduan', 'juga', 'lama']","['sistem', 'reschedule', 'nya', 'lama', 'responnya', 'pengaduan', 'lama']","['sistem', 'reschedule', 'nya', 'lama', 'responnya', 'adu', 'lama']",sistem reschedule nya lama responnya adu lama
Pengajuan reschedule reservasi tidak bisa .. hanya berselang kurang dr satu jam setelah tiket terbit...,1,2024-07-15 15:47:46,pengajuan reschedule reservasi tidak bisa .. hanya berselang kurang dr satu jam setelah tiket terbit...,pengajuan reschedule reservasi tidak bisa hanya berselang kurang dr satu jam setelah tiket terbit,"['pengajuan', 'reschedule', 'reservasi', 'tidak', 'bisa', 'hanya', 'berselang', 'kurang', 'dr', 'satu', 'jam', 'setelah', 'tiket', 'terbit']","['pengajuan', 'reschedule', 'reservasi', 'berselang', 'kurang', 'dr', 'satu', 'jam', 'tiket', 'terbit']","['aju', 'reschedule', 'reservasi', 'selang', 'kurang', 'dr', 'satu', 'jam', 'tiket', 'terbit']",aju reschedule reservasi selang kurang dr satu jam tiket terbit
good aplication many diskon,5,2024-07-15 13:07:19,good aplication many diskon,good aplication many diskon,"['good', 'aplication', 'many', 'diskon']","['good', 'aplication', 'many', 'diskon']","['good', 'aplication', 'many', 'diskon']",good aplication many diskon
good apps,5,2024-07-15 06:47:05,good apps,good apps,"['good', 'apps']","['good', 'apps']","['good', 'apps']",good apps
Baru download 3 hari minta update,1,2024-07-14 16:33:25,baru download 3 hari minta update,baru download hari minta update,"['baru', 'download', 'hari', 'minta', 'update']","['baru', 'download', 'hari', 'minta', 'update']","['baru', 'download', 'hari', 'minta', 'update']",baru download hari minta update
